"Tracking Number","Invoice Number","Normalized Charge Code Name","Carrier Charge Code Name","Current Published Rate","Current Net Amount","Proposed Published Rate","Proposed Discount Percentage","Proposed Discount Amount","Proposed Net Amount","Difference ($)"
1Z3X914A0397495360,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",5.35,3.64,2.84,0.00,0.00,2.84,0.8
1Z3X914A0397495360,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0397453511,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",2.78,2.45,2.46,0.00,0.00,2.46,-0.0099999999999998
1Z3X914A0397453511,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0395895155,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.35,2.56,2.31,0.00,0.00,2.31,0.25
1Z3X914A0395895155,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0396205371,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",5.55,3.77,2.92,0.00,0.00,2.92,0.85
1Z3X914A0396205371,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0192508340,0000003X914A124,"Additional Handling","ADDL. HANDLING LONGEST SIDE",28.25,28.25,28.25,0.00,0.00,28.25,0
1Z3X914A0192508340,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",30.62,18.42,14.04,0.00,0.00,14.04,4.38
1Z3X914A0192508340,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0192508340,0000003X914A124,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,0.00,0.00,3.5,0
1Z3X914A0399247526,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.73,5.26,3.59,0.00,0.00,3.59,1.67
1Z3X914A0397975627,0000003X914A124,"Fuel Surcharge","Shipping Charge Correction Fuel Surcharge",3.67,2.59,2.46,0.00,0.00,2.46,0.13
1Z3X914A0397975627,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0395799054,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",7.62,4.84,3.43,0.00,0.00,3.43,1.41
