"Lead Shipment Number","Tracking Number","Account Number","Invoice Number","Invoice Date","Current Carrier Name","Current Normalized Service","Current Carrier Service","Proposed Carrier Name","Proposed Normalized Service","Ship Date",Zone,"Weight UOM","Actual Weight","Original Billed weight","Proposed Billed Weight","DIM UOM",Length,Width,Height,Volume,"Dim Factor","Container Type","From City","From State","From Zip","From Country","To City","To State","To Zip","To Country","Current Published Rate","Current Discount Percent","Current Discount ($)","Proposed Published Rate","Proposed Discount Percent","Proposed Discount ($)","Current Net Freight","Proposed Net Freight","Current Fuel Net Charge","Proposed Fuel Surcharge (%)","Proposed Fuel Amount","Proposed Fuel Discount Percent","Proposed Fuel Discount Amount","Proposed Fuel Net Charge","Fuel Difference($)","Current Other Net Accessorial","Proposed Other Net Accessorial","Accessorial Difference($)","Current Total Cost","Proposed Total Cost",Diff($)
,1Z0796650398356554,00003X914A,0000003X914A114,2024-03-16,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-03-07,8,lb,35.00,35.00,35.00,in,18.00,15.00,10.00,"2,700.00",194.00,PKG,SPRINGFIELD,NJ,07081,US,LINDON,UT,84042,US,61.95,38.51,23.86,61.95,67.00,41.51,38.09,20.44,6.00,15.75,3.22,0.00,0.00,3.22,2.78,0,0,0,44.09,23.66,20.43
,1Z0796650399265169,00003X914A,0000003X914A114,2024-03-16,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-03-07,8,lb,35.00,35.00,35.00,in,18.00,15.00,10.00,"2,700.00",194.00,PKG,SPRINGFIELD,NJ,07081,US,LINDON,UT,84042,US,61.95,38.51,23.86,61.95,67.00,41.51,38.09,20.44,6.00,15.75,3.22,0.00,0.00,3.22,2.78,0,0,0,44.09,23.66,20.43
,1Z09772W0314403901,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-07,7,lb,19.00,19.00,19.00,in,21.40,13.40,9.00,"2,580.84",194.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,32.87,33.50,11.01,27.28,64.00,17.46,21.86,9.82,3.39,15.25,1.50,0.00,0.00,1.5,1.89,0,0,0,25.25,11.32,13.93
,1Z09772W0314403938,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-07,7,lb,19.00,19.00,19.00,in,21.40,13.40,9.00,"2,580.84",194.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,32.87,33.50,11.01,27.28,64.00,17.46,21.86,9.82,3.39,15.25,1.50,0.00,0.00,1.5,1.89,0,0,0,25.25,11.32,13.93
,1Z09772W0314403947,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-07,7,lb,19.00,19.00,19.00,in,21.40,13.40,9.00,"2,580.84",194.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,32.87,33.50,11.01,27.28,64.00,17.46,21.86,9.82,3.39,15.25,1.50,0.00,0.00,1.5,1.89,0,0,0,25.25,11.32,13.93
,1Z09772W0314403956,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","SHIPPING CHARGE CORRECTION GROUND",FedEx,"Ground Comm(D)",2024-02-07,7,lb,7.00,19.00,14.00,in,22.00,13.00,9.00,"2,574.00",194.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,22.18,1.44,0.32,22.18,64.00,14.20,21.86,9.70,3.39,15.25,1.48,0.00,0.00,1.48,1.91,0,0,0,25.25,11.18,14.07
,1Z09772W0314404115,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-07,7,lb,19.00,19.00,19.00,in,21.40,13.40,9.00,"2,580.84",194.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,32.87,33.50,11.01,27.28,64.00,17.46,21.86,9.82,3.39,15.25,1.50,0.00,0.00,1.5,1.89,0,0,0,25.25,11.32,13.93
,1Z11WF630302767994,00003X914A,0000003X914A064,2024-02-10,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-02,4,lb,4.00,4.00,4.00,in,12.00,10.00,4.00,480.00,194.00,PKG,RENO,NV,"89506 8930",US,LINDON,UT,84042,US,15.11,27.47,4.15,15.11,57.00,8.61,10.96,9.70,1.67,15.25,1.48,0.00,0.00,1.48,0.19,0,0,0,12.63,11.18,1.45
,1Z11WF630302830834,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-27,4,lb,38.00,38.00,38.00,in,20.00,12.00,12.00,"2,880.00",194.00,PKG,RENO,NV,"89506 8930",US,LINDON,UT,84042,US,32.06,38.52,12.35,32.23,67.00,21.59,19.71,10.64,3.15,16.00,1.70,0.00,0.00,1.7,1.45,0,0,0,22.86,12.34,10.52
,1Z11WF630302830898,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-27,4,lb,41.00,43.00,41.00,in,25.00,18.00,13.00,"5,850.00",194.00,PKG,RENO,NV,"89506 8930",US,LINDON,UT,84042,US,35.80,38.49,13.78,34.59,67.00,23.18,22.02,11.41,3.52,16.00,1.83,0.00,0.00,1.83,1.69,0,0,0,25.54,13.24,12.30
